Scene ID,Safety Score,Realism Score,Comfort Score,Test Score,Final Score,Is Out Dynamic,Planner Avg Score,Is Valid Submit
0004follow5,30,5.49,9.55,0.0,45.04,0,97.08,1
0080cutin4,30,6.43,9.65,20.15,66.22,0,96.64,1
0138follow128,30,5.07,8.15,2.0,45.22,0,79.09,1
0140follow130,30,5.12,8.57,0.0,43.69,0,94.27,1
0154follow142,30,6.12,8.29,2.0,46.41,0,78.68,1
0161lanechanging7,30,6.55,8.75,20.06,65.36,0,95.4,1
0170follow155,30,3.83,9.43,0.0,43.25,0,96.31,1
0178follow162,30,4.53,9.28,0.0,43.81,0,96.12,1
0181follow165,30,6.54,8.53,0.0,45.07,0,94.47,1
0194lanechanging11,30,4.81,9.02,20.0,63.84,0,96.42,1
0210cutin11,30,5.58,9.51,0.0,45.09,0,96.95,1
0234follow210,30,6.6,8.01,0.0,44.6,0,94.48,1
0265lanechanging16,30,5.83,9.24,20.06,65.13,0,95.85,1
0322lanechanging19,30,8.0,9.96,0.0,47.95,0,97.56,1
0357follow323,30,7.22,9.81,0.0,47.03,0,91.73,1
0360follow326,30,6.82,8.56,0.0,45.38,0,90.84,1
0361follow327,0,0,0,0,0,1,0,1
0364follow330,0,0,0,0,0,1,0,1
0365follow331,30,6.94,9.61,0.0,46.55,0,92.53,1
0368cutin17,30,7.72,9.96,23.5,71.17,0,80.07,1
0437follow396,30,5.89,9.76,0.0,45.65,0,80.69,1
0470cutin24,30,4.99,9.03,0.0,44.02,0,80.49,1
0646follow589,30,5.06,9.59,0.0,44.65,0,80.19,1
0712follow652,30,6.96,9.87,20.08,66.91,0,92.74,1
0722follow662,30,9.52,9.81,0.0,49.33,0,92.88,1
0724follow664,30,9.56,9.48,0.0,49.04,0,95.24,1
0727follow667,30,9.63,9.55,0.0,49.18,0,94.07,1
0729follow669,30,10.1,9.81,0.0,49.92,0,94.76,1
0730follow670,30,9.34,9.92,0.0,49.26,0,93.8,1
0733follow673,30,10.78,9.94,0.0,50.71,0,94.58,1
0738follow678,30,8.11,8.88,0.0,46.99,0,92.11,1
0740follow680,30,8.91,8.79,0.0,47.69,0,94.07,1
0741follow681,30,8.68,9.26,0.0,47.94,0,92.06,1
0743follow683,30,9.39,9.83,0.0,49.23,0,92.83,1
0745follow685,30,8.34,9.28,0.0,47.62,0,91.01,1
0751follow691,30,8.75,9.25,0.0,47.99,0,89.75,1
0754follow694,30,10.25,9.72,0.0,49.97,0,90.08,1
0759follow699,30,9.93,9.64,0.0,49.57,0,88.85,1
0763follow703,30,8.67,9.51,0.0,48.17,0,91.02,1
0766follow706,30,7.72,9.35,20.03,67.1,0,89.45,1
0768follow708,30,9.48,9.39,20.18,69.05,0,89.31,1
0769follow709,30,9.04,9.59,0.0,48.63,0,94.02,1
0779follow719,0,0,0,0,0,1,0,1
0787cutin34,30,7.12,9.93,0.0,47.05,0,98.28,1
0801follow739,30,7.06,9.57,0.0,46.63,0,94.55,1
0803follow741,30,7.59,9.34,0.0,46.92,0,95.34,1
0804follow742,30,8.69,9.69,0.0,48.38,0,92.59,1
0811follow749,30,7.11,9.48,0.0,46.58,0,96.19,1
0816follow754,30,8.85,9.82,0.0,48.67,0,95.74,1
0819follow757,30,8.37,9.39,0.0,47.76,0,88.22,1
0823follow761,30,8.09,9.46,0.0,47.55,0,96.85,1
0826follow764,30,7.75,9.79,0.0,47.54,0,92.59,1
0828follow766,30,9.02,9.61,0.0,48.63,0,96.02,1
0829follow767,30,8.02,9.38,0.0,47.39,0,89.08,1
0830follow768,30,9.47,9.79,20.09,69.35,0,92.54,1
0834follow771,30,8.71,9.94,0.0,48.65,0,95.85,1
0837follow774,0,0,0,0,0,1,0,1
0839follow776,30,8.01,9.56,0.0,47.56,0,92.45,1
0840follow777,30,8.51,9.69,0.0,48.2,0,92.66,1
0845follow782,30,9.88,9.65,0.0,49.53,0,94.84,1
0846follow783,30,7.82,9.61,0.0,47.43,0,94.43,1
0847follow784,30,7.96,9.49,0.0,47.44,0,95.65,1
0852follow789,30,8.64,9.62,0.0,48.26,0,95.52,1
0854follow791,30,9.35,9.82,0.0,49.17,0,91.92,1
0855follow792,30,8.82,9.65,0.0,48.47,0,92.71,1
0856follow793,30,9.03,9.75,0.0,48.78,0,92.98,1
0857follow794,30,8.33,9.72,0.0,48.05,0,95.98,1
0858follow795,30,8.95,9.5,0.0,48.44,0,91.98,1
0861follow798,30,8.69,9.51,0.0,48.2,0,96.3,1
0863follow800,30,10.06,9.89,0.0,49.95,0,94.44,1
0865follow802,30,7.24,9.4,0.0,46.64,0,92.77,1
0868follow805,30,6.8,9.69,0.0,46.49,0,95.7,1
0871follow808,30,9.42,9.79,0.0,49.21,0,93.88,1
0875follow812,30,9.02,9.68,0.0,48.69,0,91.68,1
0879follow816,30,7.38,9.27,0.0,46.65,0,92.29,1
0886follow823,30,8.59,9.73,0.0,48.33,0,91.7,1
0887follow824,0,0,0,0,0,1,0,1
0889follow826,30,7.77,8.58,0.0,46.35,0,85.69,1
0894follow831,30,8.4,9.16,0.0,47.56,0,94.02,1
0895follow832,30,6.72,9.75,20.01,66.48,0,93.53,1
0898follow835,30,8.71,10.0,20.04,68.75,0,91.08,1
0899follow836,0,0,0,0,0,1,0,1
0948follow884,30,7.64,9.37,0.0,47.01,0,87.72,1
0965follow900,30,8.75,9.96,0.0,48.72,0,95.35,1
0967follow902,0,8.3,9.75,0,18.05,0,93.15,1
0_1003_merge_1004,0,0,0,0,0,1,0,1
0_100_left_straight_in_adjacent_102,0,0,0,0,0,1,0,1
0_1019_merge_1024,30,9.28,7.04,24.03,70.36,0,67.92,1
0_1026_merge_1036,30,7.75,7.2,20.55,65.49,0,82.49,1
0_1049_merge_1066,30,8.56,6.57,23.41,68.55,0,69.67,1
0_1055_merge_1064,30,8.72,7.2,0.0,45.92,0,85.16,1
0_106_straight_straight_110,0,6.57,6.64,0,13.22,0,71.5,1
0_118_straight_straight_119,0,0,0,0,0,1,0,1
0_131_straight_straight_141,0,0,0,0,0,1,0,1
0_132_merge_134,30,7.02,5.55,0.0,42.57,0,85.18,1
0_137_straight_straight_138,0,6.34,5.81,0,12.15,0,88.78,1
0_139_merge_140,0,0,0,0,0,1,0,1
0_140_straight_straight_141,0,0,0,0,0,1,0,1
0_145_straight_in_adjacent_left_147,0,6.96,5.64,0,12.59,0,90.61,1
0_150_merge_158,30,7.06,6.4,0.0,43.47,0,91.42,1
0_166_merge_173,30,9.78,6.81,2.0,48.59,0,76.5,1
0_24_straight_in_adjacent_left_30,30,6.8,6.62,0.0,43.42,0,89.69,1
0_261_merge_271,30,7.86,6.64,0.0,44.49,0,86.05,1
0_266_merge_269,30,6.09,6.38,0.0,42.47,0,91.87,1
0_273_merge_280,0,8.93,6.96,0,15.89,0,53.31,1
0_275_merge_280,30,8.52,7.39,0.0,45.91,0,87.14,1
0_277_merge_279,30,6.32,6.05,23.26,65.63,0,73.75,1
0_290_merge_294,30,7.57,6.46,0.0,44.02,0,91.47,1
0_320_merge_324,30,8.2,7.2,2.0,47.4,0,73.24,1
0_339_merge_1117,30,8.36,7.11,23.64,69.1,0,68.29,1
0_346_merge_357,30,6.27,8.99,23.72,68.98,0,68.89,1
0_347_merge_348,0,8.36,6.7,0,15.06,0,80.08,1
0_349_merge_357,0,0,0,0,0,1,0,1
0_354_merge_357,30,9.06,7.31,32.15,78.52,0,34.56,1
0_36_straight_straight_39,0,7.41,5.73,0,13.14,0,87.35,1
0_37_left_straight_in_adjacent_42,0,0,0,0,0,1,0,1
0_381_merge_389,30,9.0,6.77,0.0,45.77,0,85.01,1
0_393_merge_405,0,0,0,0,0,1,0,1
0_400_merge_403,0,8.12,7.15,0,15.27,0,64.83,1
0_402_merge_412,0,8.46,6.92,0,15.39,0,84.34,1
0_409_merge_420,0,9.1,6.82,0,15.92,0,86.3,1
0_420_merge_434,30,8.19,7.23,0.0,45.42,0,86.87,1
0_422_merge_426,30,8.8,6.68,0.0,45.48,0,87.84,1
0_42_straight_straight_43,0,0,0,0,0,1,0,1
0_440_merge_441,0,0,0,0,0,1,0,1
0_44_straight_straight_47,0,0,0,0,0,1,0,1
0_453_merge_457,30,8.58,7.3,0.0,45.88,0,87.65,1
0_45_left_left_48,0,8.33,5.46,0,13.79,0,52.98,1
0_484_merge_486,30,8.92,7.05,20.27,66.24,0,85.18,1
0_492_merge_494,30,8.1,7.06,0.0,45.17,0,84.87,1
0_495_merge_505,30,7.82,7.14,0.0,44.96,0,85.87,1
0_496_merge_502,30,8.01,7.01,20.56,65.58,0,84.66,1
0_499_merge_513,30,8.14,6.73,20.38,65.24,0,84.09,1
0_513_merge_520,0,9.3,6.9,0,16.19,0,83.0,1
0_515_merge_516,30,8.7,6.7,20.57,65.97,0,80.54,1
0_532_merge_537,30,7.3,7.3,0.0,44.6,0,89.55,1
0_574_merge_579,30,9.02,6.43,20.1,65.55,0,86.46,1
0_586_merge_587,30,8.85,6.79,0.0,45.64,0,81.92,1
0_606_merge_608,30,7.25,5.63,20.14,63.02,0,77.68,1
0_612_merge_617,30,7.86,7.38,20.15,65.39,0,87.4,1
0_612_merge_619,30,7.65,7.29,20.32,65.26,0,84.17,1
0_621_merge_623,30,8.93,6.15,0.0,45.08,0,84.98,1
0_628_merge_630,30,8.71,6.47,0.0,45.18,0,89.67,1
0_62_straight_straight_64,0,0,0,0,0,1,0,1
0_635_merge_641,0,0,0,0,0,1,0,1
0_637_merge_644,0,8.04,5.82,0,13.86,0,86.14,1
0_63_left_straight_in_adjacent_65,0,8.43,5.65,0,14.08,0,83.63,1
0_672_merge_678,30,7.82,6.5,0.0,44.32,0,80.56,1
0_675_merge_678,30,7.8,6.24,0.0,44.05,0,86.86,1
0_680_merge_682,30,7.65,6.91,0.0,44.56,0,90.02,1
0_68_straight_straight_72,0,0,0,0,0,1,0,1
0_6_straight_straight_19,0,0,0,0,0,1,0,1
0_76_merge_82,30,7.83,7.16,23.33,68.32,0,72.38,1
0_79_merge_81,30,8.64,6.74,0.0,45.38,0,86.02,1
0_81_left_straight_in_opposite_82,0,0,0,0,0,1,0,1
0_82_straight_straight_84,0,0,0,0,0,1,0,1
0_83_straight_straight_87,30,7.39,6.39,0.0,43.78,0,88.34,1
0_856_merge_858,30,7.82,6.92,20.4,65.14,0,62.82,1
0_860_merge_863,30,8.43,6.74,0.0,45.18,0,85.25,1
0_862_merge_863,0,8.8,6.75,0,15.55,0,84.86,1
0_86_merge_92,0,9.67,6.55,0,16.21,0,74.89,1
0_874_merge_875,0,0,0,0,0,1,0,1
0_879_merge_895,0,7.93,7.52,0,15.45,0,85.91,1
0_880_merge_882,0,9.12,6.42,0,15.54,0,52.59,1
0_88_merge_92,0,8.65,6.93,0,15.58,0,88.69,1
0_899_merge_901,30,8.3,6.71,0.0,45.01,0,85.34,1
0_89_straight_straight_93,0,0,0,0,0,1,0,1
0_903_merge_908,30,8.25,6.76,0.0,45.01,0,88.25,1
0_907_merge_910,0,8.83,6.79,0,15.62,0,86.24,1
0_916_merge_921,30,8.91,6.83,23.67,69.41,0,65.39,1
0_96_left_straight_in_opposite_97,0,0,0,0,0,1,0,1
0_99_straight_straight_101,0,0,0,0,0,1,0,1
10_10_straight_straight_12,0,0,0,0,0,1,0,1
10_11_straight_in_adjacent_left_16,0,0,0,0,0,1,0,1
10_18_straight_straight_22,30,6.81,5.31,22.02,64.14,0,65.02,1
10_39_straight_straight_40,30,7.48,6.39,0.0,43.87,0,89.79,1
